State,Crime,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Poverty rate,Literacy rate,gender ratio(Female/1000 Males)
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1332,871,349,405,681,657,612,357,279,548,497,472,9.20,67.66,992
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,1,34.67,66.95,920
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,6,24,22,28,25,29,21,27,37,25,21,30,31.98,73.18,954
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,29,10,9,24,28,13,27,39,40,24,23,35,33.70,63.82,916
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,12,12,7,9,6,13,14,4,9,12,15,5,35.93,71.04,991
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28,25,25,28,38,26,10,14,23,16,18,40,5.09,87.40,968
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,61,57,74,33,59,78,44,52,41,46,46,44,17.63,79.31,918
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,21,32,57,62,85,85,88,77,90,57,57,69,11.16,76.64,877
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1,2,5,4,4,0,0,1,5,1,2,6,8.00,83.78,974
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,7,3,2,11,3,5,1,4,6,4,2,3,10.35,68.72,883
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,6,3,13,11,14,8,1,13,15,12,31.96,67.63,947
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1356,1388,1361,1170,1241,786,612,516,329,242,351,335,20.91,75.60,968
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,132,132,159,168,225,189,201,187,314,309,197,210,1.05,93.91,1084
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,15,14,33,23,19,12,19,10,19,19,24,13,31.65,70.63,930
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,233,182,179,309,222,378,322,327,271,306,390,366,17.75,82.91,925
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,4,6,0,0,1,0,0,0,0,0,0,15,31.89,79.85,987
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,0,1,1,1,3,1,3,2,7,11.87,75.48,986
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,2,0,0,5,1,0,0,1,1,0,8,0,20.87,91.58,975
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1,4,1,4,4,9,4,1,3,2,2,4,18.88,80.11,931
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,24,24,11,22,29,44,40,29,14,25,23,24,32.60,73.45,978
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32,38,54,32,58,67,45,43,59,59,50,86,8.26,76.68,893
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,68,55,51,79,115,143,91,72,62,82,81,99,14.71,67.06,926
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,1,0,0,2,0,1,3,1,0,8.19,82.20,889
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,5232,3530,2839,3022,2777,1732,1199,687,716,567,420,500,11.28,80.33,995
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,1,2,0,14.05,87.75,961
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,26,42,47,44,31,70,49,57,39,23,43,31,29.43,69.72,908
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,4,2,3,9,3,6,4,3,12,11.26,79.63,963
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,31,42,152,121,74,66,62,62,63,56,96,109,13.98,77.08,947
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,1,0,1,3,3,2,1.00,86.27,878
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,4,9,9,3,5,7,4,3,1,0,21.81,86.43,818
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,2,0,0,0,2,3,0,1,1,2,39.31,77.65,775
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,0,1,1,1,5,6,4,6,6,3,9.86,87.07,618
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,95,69,46,123,151,112,63,60,27,28,33,24,9.91,86.34,866
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0,2.77,92.28,946
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,39,27,13,4,5,8,5,3,9,11,3,4,9.69,86.55,1038
