,STATE NAME,MURDERED CHILD (MALE),MURDERED CHILD (FEMALE),MURDERED CHILD TOTAL (TOTAL),MURDERED ADULT (MALE),MURDERED ADULT (FEMALE),MURDERED ADULT TOTAL (TOTAL),MURDERED TOTAL (MALE),MURDERED TOTAL (FEMALE),MURDERED TOTAL (TOTAL)
0,ANDHRA PRADESH,29,30,59,730,398,1128,759,428,1187
1,ARUNACHAL PRADESH,0,1,1,38,10,48,38,11,49
2,ASSAM,26,9,35,897,217,1114,923,226,1149
3,BIHAR,27,6,33,2240,320,2560,2267,326,2593
4,CHHATTISGARH,44,32,76,588,324,912,632,356,988
5,GOA,0,3,3,14,13,27,14,16,30
6,GUJARAT,55,39,94,826,256,1082,881,295,1176
7,HARYANA,36,28,64,819,207,1026,855,235,1090
8,HIMACHAL PRADESH,1,2,3,74,26,100,75,28,103
9,JAMMU & KASHMIR,4,2,6,139,23,162,143,25,168
10,JHARKHAND,10,7,17,1307,193,1500,1317,200,1517
11,KARNATAKA,46,56,102,999,539,1538,1045,595,1640
12,KERALA,21,20,41,303,87,390,324,107,431
13,MADHYA PRADESH,70,62,132,1329,607,1936,1399,669,2068
14,MAHARASHTRA,99,92,191,1489,715,2204,1588,807,2395
15,MANIPUR,2,2,4,59,16,75,61,18,79
16,MEGHALAYA,1,3,4,97,9,106,98,12,110
17,MIZORAM,1,0,1,17,15,32,18,15,33
18,NAGALAND,1,1,2,36,8,44,37,9,46
19,ODISHA,11,8,19,725,607,1332,736,615,1351
20,PUNJAB,35,23,58,562,184,746,597,207,804
21,RAJASTHAN,34,5,39,1291,241,1532,1325,246,1571
22,SIKKIM,0,0,0,12,7,19,12,7,19
23,TAMIL NADU,43,59,102,1135,446,1581,1178,505,1683
24,TRIPURA,2,4,6,78,65,143,80,69,149
25,UTTAR PRADESH,277,236,513,3494,1048,4542,3771,1284,5055
26,UTTARAKHAND,3,1,4,138,52,190,141,53,194
27,WEST BENGAL,30,39,69,1053,997,2050,1083,1036,2119
28,ANDAMAN & NICOBAR ISLANDS,1,0,1,7,6,13,8,6,14
29,CHANDIGARH,0,1,1,23,2,25,23,3,26
30,DADRA & NAGAR HAVELI,0,0,0,4,1,5,4,1,5
31,DAMAN & DIU,0,0,0,4,0,4,4,0,4
32,NCT OF DELHI,22,15,37,384,124,508,406,139,545
33,LAKSHADWEEP,0,0,0,0,0,0,0,0,0
34,PUDUCHERRY,0,1,1,29,8,37,29,9,38
